Created by: G Romme, University of Toronto Libraries, GIS & Map Library,,
from Census of Canada, 2006: cartographic boundary file at the FSA level,,,
2008/04/17,,,,
,,,,
pruid,fsa,shape_area,shape_len,sq_km
10,A0A,7.09,104.98,46874.95
10,A0B,0.59,16.56,5098.90
10,A0C,0.26,11.38,2237.20
10,A0E,0.84,23.40,7219.32
10,A0G,1.57,41.22,12946.93
10,A0H,3.23,34.15,26852.37
10,A0J,0.24,11.85,2006.98
10,A0K,8.51,80.67,64404.35
10,A0L,0.22,4.41,1873.73
10,A0M,0.54,11.57,4594.47
10,A0N,1.46,25.37,12298.83
10,A0P,17.59,85.49,126385.35
10,A0R,11.32,34.65,82159.98
10,A1A,7.1280263073e-03,0.74,60.50
10,A1B,3.91632870338e-03,0.49,33.26
10,A1C,3.87049573682e-03,0.49,32.92
10,A1E,2.11227796859e-03,0.33,17.95
10,A1G,1.1807526956e-03,0.20,10.04
10,A1H,5.28931711762e-03,0.54,45.03
10,A1K,0.01,0.94,90.24
10,A1L,4.17216920365e-03,0.39,35.46
10,A1M,8.31127713272e-03,0.53,70.50
10,A1N,1.88148751563e-03,0.22,16.00
10,A1S,0.02,1.01,217.04
10,A1V,0.01,0.56,109.83
10,A1W,4.41902684504e-03,0.48,37.59
10,A1X,9.9697513124e-03,0.49,84.93
10,A1Y,6.02171707111e-03,0.68,50.91
10,A2A,0.01,0.64,85.63
10,A2B,0.06,1.35,498.97
10,A2H,0.11,4.44,940.56
10,A2N,0.05,1.91,417.39
10,A2V,8.6250885318e-03,0.83,63.57
10,A5A,0.21,5.12,1787.23
10,A8A,0.68,9.51,5592.06
11,C0A,0.38,9.72,3392.64
11,C0B,0.24,8.02,2093.89
11,C1A,0.02,1.91,229.55
11,C1B,3.02992949507e-03,0.30,26.64
11,C1C,1.11703474392e-03,0.23,9.80
11,C1E,0.01,0.91,157.60
11,C1N,0.01,1.19,123.94
12,B0C,0.18,3.98,1601.95
12,B0E,0.70,20.34,6245.67
12,B0H,0.41,11.68,3689.03
12,B0J,0.60,25.43,5474.22
12,B0K,0.38,12.39,3478.37
12,B0L,0.05,2.25,467.33
12,B0M,0.41,7.56,3732.56
12,B0N,0.61,7.38,5565.34
12,B0P,0.19,4.93,1755.22
12,B0R,0.11,4.38,1091.72
12,B0S,0.26,3.98,2394.61
12,B0T,0.57,8.51,5343.71
12,B0V,0.03,2.40,340.29
12,B0W,0.58,12.93,5424.17
12,B1A,3.60301840779e-03,0.59,31.70
12,B1B,0.01,1.56,148.07
12,B1C,0.01,1.92,150.87
12,B1E,4.87662471582e-04,0.10,4.29
12,B1G,9.1996152457e-04,0.19,8.09
12,B1H,6.85249143261e-03,0.59,60.25
12,B1J,0.03,2.17,348.87
12,B1K,0.11,2.23,987.25
12,B1L,0.02,0.88,196.09
12,B1M,9.61214110732e-03,0.70,84.71
12,B1N,6.60755106928e-03,0.45,58.12
12,B1P,1.9741426746e-03,0.36,17.39
12,B1R,3.12223937239e-03,0.34,27.51
12,B1S,1.00504839549e-03,0.20,8.86
12,B1T,0.01,1.28,149.52
12,B1V,1.46659754639e-03,0.29,12.88
12,B1W,4.18426249863e-03,0.52,37.03
12,B1X,0.01,1.74,153.20
12,B1Y,0.02,2.23,255.21
12,B2A,0.01,1.38,97.35
12,B2C,0.01,1.87,128.03
12,B2E,4.23867333356e-03,0.40,37.68
12,B2G,0.11,3.76,1070.80
12,B2H,0.08,3.22,799.85
12,B2J,0.02,1.63,256.21
12,B2N,0.09,2.35,878.37
12,B2R,6.15856667205e-03,0.46,56.18
12,B2S,0.04,1.44,364.05
12,B2T,0.02,1.14,203.47
12,B2V,1.81431971056e-03,0.35,16.59
12,B2W,2.85127362242e-03,0.45,26.06
12,B2X,1.80597116751e-03,0.25,16.49
12,B2Y,4.34951253584e-03,1.06,40.37
12,B2Z,0.01,1.39,147.15
12,B3A,1.04565049489e-03,0.21,9.55
12,B3B,2.30654715943e-03,0.30,21.07
12,B3E,0.03,1.44,300.26
12,B3G,3.63770176004e-03,0.60,33.30
12,B3H,7.28858064854e-04,0.19,6.67
12,B3J,7.27847066805e-04,0.33,6.66
12,B3K,6.64918784224e-04,0.18,6.08
12,B3L,5.17960918596e-04,0.10,4.73
12,B3M,3.18788498477e-03,0.49,29.14
12,B3N,1.09585608788e-03,0.25,10.02
12,B3P,1.43206181315e-03,0.22,13.11
12,B3R,2.50387083114e-03,0.36,22.93
12,B3S,5.70809646818e-04,0.16,5.22
12,B3T,0.02,2.00,220.90
12,B3V,0.01,1.09,142.92
12,B3Z,0.04,3.23,372.84
12,B4A,2.34641506144e-03,0.27,21.42
12,B4B,0.01,1.09,174.00
12,B4C,4.62970721806e-03,0.40,42.23
12,B4E,4.76847102187e-03,0.49,43.44
12,B4G,0.01,0.63,130.55
12,B4H,0.08,1.87,739.77
12,B4N,0.03,1.62,360.14
12,B4P,0.02,1.04,254.76
12,B4R,1.67764828668e-03,0.25,15.18
12,B4V,0.07,2.48,646.97
12,B5A,0.01,2.45,185.11
12,B9A,0.02,1.22,182.45
13,E1A,9.98339686389e-03,0.69,88.04
13,E1B,4.52967856957e-03,0.39,39.99
13,E1C,1.38431015641e-03,0.22,12.20
13,E1E,4.37340826289e-03,0.35,38.59
13,E1G,0.06,1.72,541.38
13,E1H,0.03,1.53,273.17
13,E1J,0.02,1.14,219.40
13,E1N,0.10,2.48,936.95
13,E1V,0.13,3.14,1165.29
13,E1W,0.01,1.38,161.34
13,E1X,0.05,2.70,449.19
13,E2A,0.22,3.85,1904.27
13,E2E,3.02056529714e-03,0.39,27.10
13,E2G,3.4122306996e-03,0.51,30.59
13,E2H,2.81123580375e-03,0.37,25.27
13,E2J,0.01,1.03,96.51
13,E2K,3.61032556158e-03,0.46,32.49
13,E2L,2.8774242267e-04,0.08,2.59
13,E2M,0.01,1.13,130.81
13,E2N,9.353201805e-03,0.53,84.14
13,E2P,3.03088482481e-03,0.37,27.31
13,E2R,3.98720169563e-05,0.03,0.35
13,E2S,0.03,1.35,273.47
13,E2V,0.05,1.33,519.84
13,E3A,0.12,2.93,1126.97
13,E3B,0.04,1.86,388.65
13,E3C,9.82539738834e-03,0.87,87.10
13,E3E,0.02,0.96,184.97
13,E3L,0.04,1.98,415.37
13,E3N,0.16,3.88,1364.10
13,E3V,0.02,1.47,171.41
13,E3Y,0.09,2.40,830.75
13,E3Z,0.02,0.76,178.19
13,E4A,0.13,2.84,1182.84
13,E4B,0.09,2.30,874.33
13,E4C,0.09,2.04,816.44
13,E4E,0.09,1.78,814.51
13,E4G,0.05,1.47,521.80
13,E4H,0.11,3.22,1042.51
13,E4J,0.05,1.87,458.10
13,E4K,0.03,0.90,316.07
13,E4L,0.07,1.76,687.97
13,E4M,0.04,2.20,412.74
13,E4N,0.01,0.88,111.95
13,E4P,0.05,1.62,443.57
13,E4R,0.01,1.14,150.07
13,E4S,0.04,1.99,395.68
13,E4T,0.25,3.56,2189.90
13,E4V,0.02,1.02,200.80
13,E4W,0.06,2.57,537.57
13,E4X,0.06,2.48,562.42
13,E4Y,0.10,2.25,899.45
13,E4Z,0.21,3.38,1921.72
13,E5A,0.10,2.18,965.10
13,E5B,0.01,1.55,128.54
13,E5C,0.08,2.69,740.93
13,E5E,4.53963259048e-03,0.85,41.28
13,E5G,0.01,1.47,163.70
13,E5H,0.01,1.67,148.75
13,E5J,0.05,2.90,536.98
13,E5K,0.07,1.70,692.02
13,E5L,0.15,2.64,1412.05
13,E5M,0.07,2.03,709.39
13,E5N,0.07,2.55,639.85
13,E5P,0.03,1.28,351.52
13,E5R,0.06,2.04,580.02
13,E5S,0.02,1.30,188.80
13,E5T,0.05,1.80,505.28
13,E5V,4.28362005223e-03,1.19,38.85
13,E6A,0.50,4.54,4388.99
13,E6B,0.18,2.40,1587.37
13,E6C,0.06,1.77,612.29
13,E6E,0.06,1.32,530.32
13,E6G,0.07,1.52,673.59
13,E6H,0.11,2.16,1026.00
13,E6J,0.07,1.26,629.14
13,E6K,0.15,2.55,1343.36
13,E6L,0.05,1.46,519.17
13,E7A,0.07,1.55,647.37
13,E7B,0.24,4.77,2064.73
13,E7C,0.09,1.89,794.16
13,E7E,0.11,2.57,1017.38
13,E7G,0.40,3.67,3524.68
13,E7H,0.09,1.65,810.05
13,E7J,0.04,1.23,378.59
13,E7K,0.03,1.30,317.62
13,E7L,0.14,2.90,1221.76
13,E7M,0.04,1.56,374.53
13,E7N,0.07,2.08,648.34
13,E7P,0.06,2.00,593.47
13,E8A,0.29,4.60,2481.43
13,E8B,0.30,4.71,2593.79
13,E8C,2.16537794998e-03,0.41,18.16
13,E8E,0.17,3.77,1461.74
13,E8G,0.18,3.54,1567.20
13,E8J,0.02,0.75,182.16
13,E8K,0.03,1.13,330.44
13,E8L,0.08,1.74,724.56
13,E8M,0.02,0.90,239.00
13,E8N,0.01,0.96,93.76
13,E8P,0.02,1.80,196.97
13,E8R,0.03,1.30,265.41
13,E8S,7.66362323024e-03,1.00,64.80
13,E8T,0.02,1.96,195.42
13,E9A,0.03,2.82,271.77
13,E9B,0.10,1.81,877.89
13,E9C,0.19,2.42,1730.04
13,E9E,0.30,4.62,2614.16
13,E9G,0.05,1.59,493.03
13,E9H,0.03,1.99,265.60
24,G0A,1.02,13.33,8807.63
24,G0C,1.18,9.12,9837.89
24,G0E,0.66,5.64,5457.38
24,G0G,25.34,96.58,191803.33
24,G0H,1.69,12.77,13790.32
24,G0J,1.45,11.67,12030.84
24,G0K,0.42,6.28,3578.18
24,G0L,0.91,9.50,7724.99
24,G0M,0.36,5.15,3199.39
24,G0N,0.20,4.95,1774.58
24,G0P,0.09,2.81,838.18
24,G0R,0.85,6.49,7449.19
24,G0S,0.40,5.65,3572.45
24,G0T,0.40,8.25,3410.19
24,G0V,5.55,19.18,44118.99
24,G0W,39.68,69.23,297369.09
24,G0X,4.34,29.24,36683.01
24,G0Y,0.22,4.76,1979.03
24,G0Z,0.07,1.95,662.97
