"plz","size","inhabitants","sqm","physicians","neurologists"
10,73.8766155456749,80287,1086.77149605428,225,10.9
11,121.015545868282,182357,1506.88904216063,225,10.9
12,51.1396430279924,157358,3077.02578044721,225,10.9
13,69.7081890652265,88723,1272.77729044117,225,10.9
14,269.122630836266,90009,334.453478402422,180.8,6.6
15,577.931694883364,73129,126.535714596443,226.7,8.7
19,1351.09199077887,151075,111.816960674091,180.8,6.6
26,700.53880089845,100196,143.027052707855,157,6.3
27,674.495411228636,129960,192.677367164396,180.8,6.6
28,376.187530892949,75459,200.588785654018,162.5,7
29,1715.53650161427,139746,81.4590653527353,180.8,6.6
30,531.249165856323,124112,233.622955059032,244.5,11.9
31,1347.85295248936,101153,75.0475041162164,120.4,5.2
32,1227.97534228774,79688,64.8938111831623,138.6,5.4
41,97.5294481952567,184397,1890.6802346593,218.7,10.1
42,111.026411083273,190005,1711.34956220003,NA,NA
43,89.3298056791215,128833,1442.21739900316,NA,NA
44,308.947581617683,91793,297.11512716611,220.4,9
45,722.767858171979,109019,150.835429062563,158.5,7
46,1297.44890223361,185953,143.322021915371,151.1,9.9
47,887.676813775722,106774,120.284768446117,220.4,9
48,1608.32415233949,143540,89.2481778571842,154.7,8.1
49,1076.86001510737,60316,56.0109941439198,149.8,3.9
61,744.717936898661,299853,402.639691006668,238.7,11.7
16,749.626892926119,125455,167.356589236406,168.8,6.6
17,858.988166168408,158677,184.725478475207,226.7,8.7
18,965.467279635115,120370,124.675380035139,158.5,5.7
62,966.395752918937,146234,151.318959710149,131,5.9
63,921.020741290555,116561,126.556324710638,135.5,4.3
64,1269.74314520792,155728,122.645277186749,145.3,8.8
66,1072.31499015703,138250,128.92666918678,148.9,6.6
67,1095.45195052444,152252,138.985557446961,145.7,4.3
521,312.536498875325,119237,381.513840556476,205.8,6.7
69,978.63992798126,41608,42.5161479828736,154.6,6.3
73,919.398138527123,92675,100.799638498796,133.7,3.7
74,434.890142160723,49898,114.737022439932,153.7,5.6
75,549.242827804564,141288,257.241410988938,245.6,16.9
76,509.74528601582,56847,111.520403541771,168.7,6
77,419.763971828216,133980,319.179369816974,229.5,10.8
78,203.711434058109,17354,85.1891307929715,202,8.2
79,999.937684846152,97347,97.353066571321,138,4
80,101.478900654974,93246,918.870813520478,166.9,7.8
81,296.712695534678,62131,209.39784827218,188.2,7.3
82,614.125060506493,133307,217.068165057548,153.8,6.1
83,609.32095622363,127654,209.502067336002,188.2,7.3
84,349.564338456827,96265,275.385642668722,188.2,7.3
85,374.871952940856,81480,217.354217515588,188.2,7.3
86,330.448763562479,29336,88.7762438077737,188.2,7.3
91,176.970355247591,225524,1274.36032822831,211.5,11.7
92,271.722461896432,86565,318.578741690462,188.2,7.3
65,1325.27653004083,117147,88.3943821116266,137.2,4
93,610.65731863406,144292,236.289643302331,188.2,7.3
94,728.929553583349,126039,172.909713127152,141.6,5.9
68,999.923477319313,168490,168.502894293175,199.7,7.3
95,611.261078015693,114248,186.905406067858,188.2,7.3
96,941.324469709192,106453,113.088529434369,150.9,5.5
155,832.247547319734,102857,123.58943000944,151.4,6.7
157,690.179604889727,98602,142.864262144857,178,6.7
158,1921.41961416389,136484,71.0328961950311,190.8,6.5
159,1638.00249816103,53579,32.7099623231055,135.1,7.2
162,1866.05814279898,112869,60.4852536002459,132.1,6.1
163,1148.15327951369,147297,128.290362121675,169,7
165,431.691069534026,103226,239.120072860028,176.4,5.7
101,10.7828540728852,79724,7393.58981037088,243,10.5
167,1376.96246003972,98355,71.4289625565847,140.5,5.2
168,2135.26948960403,85257,39.9279811822771,165,7
169,1409.14015162171,43987,31.2154897789106,165.7,5.2
170,1237.35047183143,108091,87.3568180242515,193.4,5
171,2769.25844685949,115624,41.7526938054933,162.3,5
172,3973.80989528534,136056,34.23817534941,157,8.3
102,10.3437527832115,114821,11100.5166506261,243,10.5
173,2876.22008383758,110945,38.5731956408469,179.3,7.6
174,928.699644391521,118769,127.88741841052,196.5,6.9
103,26.187894247225,153334,5855.14812884386,243,10.5
104,10.4188430515557,139757,13413.8694007039,243,10.5
105,12.6488056893091,109113,8626.34802685152,243,10.5
183,915.435689515544,52678,57.5441842647381,164.8,6.2
106,3.15845467936337,38767,12274.0402935951,243,10.5
