osm_id;ags;ort;plz;landkreis;bundesland;plz3
1104550;08335001;Aach;78267;Konstanz;Baden-Wuerttemberg;782
1255910;07235001;Aach;54298;Trier-Saarburg;Rheinland-Pfalz;542
62564;05334002;Aachen;52062;Staedteregion Aachen;Nordrhein-Westfalen;520
62564;05334002;Aachen;52064;Staedteregion Aachen;Nordrhein-Westfalen;520
62564;05334002;Aachen;52066;Staedteregion Aachen;Nordrhein-Westfalen;520
62564;05334002;Aachen;52068;Staedteregion Aachen;Nordrhein-Westfalen;520
62564;05334002;Aachen;52070;Staedteregion Aachen;Nordrhein-Westfalen;520
62564;05334002;Aachen;52072;Staedteregion Aachen;Nordrhein-Westfalen;520
62564;05334002;Aachen;52074;Staedteregion Aachen;Nordrhein-Westfalen;520
62564;05334002;Aachen;52076;Staedteregion Aachen;Nordrhein-Westfalen;520
62564;05334002;Aachen;52078;Staedteregion Aachen;Nordrhein-Westfalen;520
62564;05334002;Aachen;52080;Staedteregion Aachen;Nordrhein-Westfalen;520
915486;08136088;Aalen;73430;Ostalbkreis;Baden-Wuerttemberg;734
915486;08136088;Aalen;73431;Ostalbkreis;Baden-Wuerttemberg;734
915486;08136088;Aalen;73432;Ostalbkreis;Baden-Wuerttemberg;734
915486;08136088;Aalen;73433;Ostalbkreis;Baden-Wuerttemberg;734
915486;08136088;Aalen;73434;Ostalbkreis;Baden-Wuerttemberg;734
413109;06439001;Aarbergen;65326;Rheingau-Taunus-Kreis;Hessen;653
448770;01061001;Aasbuettel;25560;Kreis Steinburg;Schleswig-Holstein;255
158409;09576111;Abenberg;91183;Roth;Bayern;911
956651;09273111;Abensberg;93326;Kelheim;Bayern;933
1244276;07134001;Abentheuer;55767;Birkenfeld;Rheinland-Pfalz;557
1015097;09577111;Absberg;91720;Weissenburg-Gunzenhausen;Bayern;917
410485;08125001;Abstatt;74232;Heilbronn;Baden-Wuerttemberg;742
2389084;16065001;Abtsbessingen;99713;Kyffhaeuserkreis;Thueringen;997
915445;08136002;Abtsgmuend;73453;Ostalbkreis;Baden-Wuerttemberg;734
537061;06431001;Abtsteinach;69518;Kreis Bergstrasse;Hessen;695
283691;09675111;Abtswind;97355;Kitzingen;Bayern;973
1244067;07133001;Abtweiler;55568;Bad Kreuznach;Rheinland-Pfalz;555
2806596;08436001;Achberg;88147;Ravensburg;Baden-Wuerttemberg;881
452972;08317001;Achern;77855;Ortenaukreis;Baden-Wuerttemberg;778
1182036;03361001;Achim;28832;Verden;Niedersachsen;288
959175;09276111;Achslach;94250;Regen;Bayern;942
2801019;08426001;Achstetten;88480;Biberach;Baden-Wuerttemberg;884
548033;07137001;Acht;56729;Mayen-Koblenz;Rheinland-Pfalz;567
1246405;07134002;Achtelsbach;55767;Birkenfeld;Rheinland-Pfalz;557
548502;01058001;Achterwehr;24239;Kreis Rendsburg-Eckernfoerde;Schleswig-Holstein;242
1417214;01054001;Achtrup;25917;Kreis Nordfriesland;Schleswig-Holstein;259
2825844;08117001;Adelberg;73099;Goeppingen;Baden-Wuerttemberg;730
1399100;03159001;Adelebsen;37139;Goettingen;Niedersachsen;371
1796300;03351001;Adelheidsdorf;29352;Celle;Niedersachsen;293
915446;08136003;Adelmannsfelden;73486;Ostalbkreis;Baden-Wuerttemberg;734
943553;09176111;Adelschlag;85111;Eichstaett;Bayern;851
1016518;09572111;Adelsdorf;91325;Erlangen-Hoechstadt;Bayern;913
403733;08225001;Adelsheim;74740;Neckar-Odenwald-Kreis;Baden-Wuerttemberg;747
534077;09571111;Adelshofen;91587;Ansbach;Bayern;915
933549;09179111;Adelshofen;82276;Fuerstenfeldbruck;Bayern;822
452562;09772111;Adelsried;86477;Augsburg;Bayern;864
163655;09771111;Adelzhausen;86559;Aichach-Friedberg;Bayern;865
1060416;07131001;Adenau;53518;Ahrweiler;Rheinland-Pfalz;535
1246784;07336001;Adenbach;67742;Kusel;Rheinland-Pfalz;677
1363679;03151001;Adenbuettel;38528;Gifhorn;Niedersachsen;385
1392133;03355001;Adendorf;21365;Lueneburg;Niedersachsen;213
191347;09274111;Adlkofen;84166;Landshut;Bayern;841
391131;13072001;Admannshagen-Bargeshagen;18211;Rostock;Mecklenburg-Vorpommern;182
443610;14523010;Adorf/Vogtland;08626;Vogtlandkreis;Sachsen;086
448016;01061002;Aebtissinwisch;25572;Kreis Steinburg;Schleswig-Holstein;255
1169356;03252001;Aerzen;31855;Hameln-Pyrmont;Niedersachsen;318
405290;08118001;Affalterbach;71563;Ludwigsburg;Baden-Wuerttemberg;715
393482;09771112;Affing;86444;Aichach-Friedberg;Bayern;864
1992924;03251001;Affinghausen;27257;Diepholz;Niedersachsen;272
1171872;07232001;Affler;54689;Eifelkreis Bitburg-Pruem;Rheinland-Pfalz;546
445842;03359001;Agathenburg;21684;Stade;Niedersachsen;216
448765;01061003;Agethorst;25560;Kreis Steinburg;Schleswig-Holstein;255
403747;08225002;Aglasterhausen;74858;Neckar-Odenwald-Kreis;Baden-Wuerttemberg;748
191355;09274112;Aham;84168;Landshut;Bayern;841
162877;05554004;Ahaus;48683;Kreis Borken;Nordrhein-Westfalen;486
965596;03357001;Ahausen;27367;Rotenburg (Wuemme);Niedersachsen;273
1408072;13075001;Ahlbeck;17375;Vorpommern-Greifswald;Mecklenburg-Vorpommern;173
1808860;03358001;Ahlden;29693;Heidekreis;Niedersachsen;296
548612;01058175;Ahlefeld-Bistensee;24358;Kreis Rendsburg-Eckernfoerde;Schleswig-Holstein;243
152285;05570004;Ahlen;59227;Kreis Warendorf;Nordrhein-Westfalen;592
152285;05570004;Ahlen;59229;Kreis Warendorf;Nordrhein-Westfalen;592
446435;03359002;Ahlerstedt;21702;Stade;Niedersachsen;217
2409456;15087010;Ahlsdorf;06313;Mansfeld-Suedharz;Sachsen-Anhalt;063
1273264;16069001;Ahlstaedt;98553;Hildburghausen;Thueringen;985
530915;06633001;Ahnatal;34292;Kassel;Hessen;342
1145086;01059102;Ahneby;24996;Kreis Schleswig-Flensburg;Schleswig-Holstein;249
1797682;03351002;Ahnsbeck;29353;Celle;Niedersachsen;293
1169362;03257001;Ahnsen;31708;Schaumburg;Niedersachsen;317
959667;09278112;Aholfing;94345;Straubing-Bogen;Bayern;943
959803;09271111;Aholming;94527;Deggendorf;Bayern;945
401808;08128138;Ahorn;74744;Main-Tauber-Kreis;Baden-Wuerttemberg;747
956872;09473112;Ahorn;96482;Coburg;Bayern;964
1071012;09472111;Ahorntal;95491;Bayreuth;Bayern;954
1021829;07131002;Ahrbrueck;53506;Ahrweiler;Rheinland-Pfalz;535
382442;01055001;Ahrensboek;23623;Kreis Ostholstein;Schleswig-Holstein;236
453746;01062001;Ahrensburg;22926;Kreis Stormarn;Schleswig-Holstein;229
1318349;12060005;Ahrensfelde;16356;Barnim;Brandenburg;163
374204;13073001;Ahrenshagen-Daskow;18320;Vorpommern-Ruegen;Mecklenburg-Vorpommern;183
1406816;01054002;Ahrenshoeft;25853;Kreis Nordfriesland;Schleswig-Holstein;258
374244;13073002;Ahrenshoop;18347;Vorpommern-Ruegen;Mecklenburg-Vorpommern;183
1406979;01054003;Ahrenvioel;25885;Kreis Nordfriesland;Schleswig-Holstein;258
1406977;01054004;Ahrenvioelfeld;24896;Kreis Nordfriesland;Schleswig-Holstein;248
1406977;01054004;Ahrenvioelfeld;25885;Kreis Nordfriesland;Schleswig-Holstein;258
161897;09771113;Aichach;86551;Aichach-Friedberg;Bayern;865
958122;09275111;Aicha vorm Wald;94529;Passau;Bayern;945
2792688;08117002;Aichelberg;73101;Goeppingen;Baden-Wuerttemberg;731
935172;09774166;Aichen;86479;Guenzburg;Bayern;864
943754;08325001;Aichhalden;78733;Rottweil;Baden-Wuerttemberg;787
2806735;08436003;Aichstetten;88317;Ravensburg;Baden-Wuerttemberg;883
2796466;08116081;Aichtal;72631;Esslingen;Baden-Wuerttemberg;726
2792901;08116076;Aichwald;73773;Esslingen;Baden-Wuerttemberg;737
958099;09275112;Aidenbach;94501;Passau;Bayern;945
388769;09674111;Aidhausen;97491;Hassberge;Bayern;974
722153;08115001;Aidlingen;71134;Boeblingen;Baden-Wuerttemberg;711
956660;09273113;Aiglsbach;84089;Kelheim;Bayern;840
535001;07143200;Ailertchen;56459;Westerwaldkreis;Rheinland-Pfalz;564
162453;09771114;Aindling;86447;Aichach-Friedberg;Bayern;864
941761;09172111;Ainring;83404;Berchtesgadener Land;Bayern;834
956819;09773111;Aislingen;89344;Dillingen an der Donau;Bayern;893
959661;09278113;Aiterhofen;94330;Straubing-Bogen;Bayern;943
1244183;08336004;Aitern;79677;Loerrach;Baden-Wuerttemberg;796
2806736;08436004;Aitrach;88319;Ravensburg;Baden-Wuerttemberg;883
447974;09777111;Aitrang;87648;Ostallgaeu;Bayern;876
1329407;15082005;Aken (Elbe);06385;Anhalt-Bitterfeld;Sachsen-Anhalt;063
1329407;15082005;Aken (Elbe);06386;Anhalt-Bitterfeld;Sachsen-Anhalt;063
1284770;15090003;Aland;39615;Stendal;Sachsen-Anhalt;396
2186953;09187186;Albaching;83544;Rosenheim;Bayern;835
2786234;08337002;Albbruck;79774;Waldshut;Baden-Wuerttemberg;797
